
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              新建游戏
soundeditor_title                       声音编辑器
soundinstanceeditor_title				声音实例编辑器

soundeditor_positiontitle		位置类型
soundeditor_instancetitle		实例类型
soundeditor_looptitle			循环类型
soundeditor_sourcetypetitle		声音类型
soundeditor_soundnametitle		声音名称

soundeditor_volumetitle			音量
soundeditor_frequencytitle              频率
soundeditor_mindistancetitle            最小距离
soundeditor_attacktitle                 进攻
soundeditor_sustaintitle                维持
soundeditor_releasetitle                释放
soundeditor_loopdelaytitle              循环延迟
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              下一事件

soundeditor_play                        开始游戏
soundeditor_stop                        停止

soundparametereditor_title              声音参数
soundparametereditor_typetitle          类型
soundparametereditor_linktitle          连接到
soundparametereditor_updatetitle        更新类型
soundparametereditor_smoothing          平滑
soundparametereditor_chaintitle         连锁

soundeditor_newdsp                      添加DSP
sounddspeditor_title                    DSP编辑器
samplebankeditor_title                  样品库编辑器
samplebankeditor_addsample              添加声音
samplebank                              （样品库）


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            完成
interfacemode_destroy                         拆除
interfacemode_foundations				地基
interfacemode_construction                    建材
interfacemode_planning                        规划
interfacemode_objects                         物品
interfacemode_designation                     房间
interfacemode_utilities                       基础设施
interfacemode_staff                           员工
interfacemode_deployment                      部署
interfacemode_logistics                       后勤
interfacemode_prisoners                       囚犯
interfacemode_needs                           需求
interfacemode_threats                         威胁
interfacemode_overlays                        叠层
interfacemode_research                        行政
interfacemode_emergencies                     紧急
interfacemode_clone                           克隆
interfacemode_contraband                      情报
interfacemode_grading                         评级
interfacemode_spawn                           （再生）
interfacemode_properties                      （属性）
interfacemode_cutscenes                       （过场动画）
interfacemode_selection                       选择
interfacemode_prefabs                         快速建造

interfaceoverlay_security                       安保人员
interfaceoverlay_patrols                        巡逻
interfaceoverlay_decay                          腐烂
interfaceoverlay_territory                      辖区
interfaceoverlay_contraband                     违禁品

interfaceproperty_indoor                        室内
interfaceproperty_visible                       可见
interfaceproperty_territoryprisoner             帮派
interfaceproperty_territoryguard                警卫
interfaceproperty_sectorprisoner                暴动
interfaceproperty_tunnel                        地道

interfacedeployment_guards                      警卫
interfacedeployment_patrols                     警卫巡逻
interfacedeployment_dogpatrols                  警犬巡逻
interfacedeployment_armedpatrols                武警巡逻
interfacedeployment_removeguards                移除警卫
interfacedeployment_clearpatrols                移除巡逻
interfacedeployment_targetting                  后勤
interfacedeployment_targettingfood              食物后勤
interfacedeployment_targettinglaundry           衣物后勤
interfacedeployment_securearea                  安全区域
interfacedeployment_sharedzone                  公共区域
interfacedeployment_staffonlyzone               员工专区
interfacedeployment_maxseczone                  最高设防区
interfacedeployment_medseczone                  普通设防区
interfacedeployment_minseczone                  最低设防区
interfacedeployment_protectedzone               重点保护区
interfacedeployment_supermaxzone                超高设防区
interfacedeployment_deathrowzone                死刑犯专区
interfacedeployment_unlockedzone                已解锁区域
interfacedeployment_zonered                     红色帮派
interfacedeployment_zonegreen                   绿色帮派
interfacedeployment_zoneblue                    蓝色帮派
interfacedeployment_zoneyellow                  黄色帮派
interfacedeployment_zoning                      分区
interfacedeployment_accessonly					限制进入
interfacedeployment_prisonerdirection			囚犯路线
interfacedeployment_staffdirection				员工路线

interfacelogistics_jobs                         狱中劳役
interfacelogistics_removejobs                   移除劳役名额
interfacelogistics_targettingfood               食物分配
interfacelogistics_targettinglaundry            衣物分配
interfacelogistics_roomquality                  牢房品质
interfacelogistics_weathermap                   温度

interfaceplanning_wall							墙壁
interfaceplanning_object						物品
interfaceplanning_route							道路
interfaceplanning_clear							清空
interfaceplanning_zone1							1区
interfaceplanning_zone2							2区
interfaceplanning_zone3							3区
interfaceplanning_zone4							4区
interfaceplanning_zone5							5区
interfaceplanning_zone6							6区
interfaceplanning_zone7							7区
interfaceplanning_zone8							8区
interfaceplanning_zone9							9区

interfacecontraband_source                      危险
interfacecontraband_day                          -24小时
interfacecontraband_week                         -7天
interfacecontraband_alltime                      -30天
interfacecontraband_stolenfrom					盗窃来源
interfacecontraband_informants                  线人
interfacecontraband_gangs                       帮派

interfacecallout_fireengine                     消防车
interfacecallout_riotpolice                     防暴警察
interfacecallout_armedpolice                    武装警察
interfacecallout_paramedics                     医护人员
interfacecallout_soldiers                       士兵

interfaceclone_copy                             复制
interfaceclone_paste                            粘贴
interfaceclone_cancel                           取消快速建造
interfaceclone_clone                            克隆

interfacetopbar_todo							待办事项
interfacetopbar_balance							存款 *B
interfacetopbar_budget							现金流 *C
interfacetopbar_income							收入 *I
interfacetopbar_expenses						支出 *C
interfacetopbar_day								第 *D 天

interfacetopbar_title_balance					银行结余
interfacetopbar_title_budget					每日现金流
interfacetopbar_title_cctv						闭路电视监控系统 
interfacetopbar_title_day						天数
interfacetopbar_title_prisoners					囚犯
interfacetopbar_title_guards					警卫
interfacetopbar_title_tension                   危险等级
interfacetopbar_title_weathericon               天气

interfacetopbar_tooltip_balance					你在银行内的存款余额。\n\n点击以通过补助清单获得更多资金。
interfacetopbar_tooltip_budget					根据目前你的日常费用和收入计算出的每天你能获取的资金。\n\n点击查看细分收支清单。
interfacetopbar_tooltip_cctv					你目前拥有的监控摄像头与监视器数量。
interfacetopbar_tooltip_day						你经营监狱的时长。
interfacetopbar_tooltip_prisoners				目前拥有的监狱数量以及可容纳的囚犯数量。
interfacetopbar_tooltip_guards					监狱中待命的警卫数量
interfacetopbar_tooltip_tension                 安保主管报告的监狱整体风险等级。
interfacetopbar_tooltip_weathericon             当前的天气和温度情况

interfacetopbar_tooltip_recenttransactions      最近的交易

interfacetopbar_tooltip_gametime                游戏时间总计: *X小时, *Y分钟, *Z秒

interfacetopbar_tooltip_totalguards             共计 *X 名警卫
interfacetopbar_tooltip_guardincapacitated      *X 名无法行动
interfacetopbar_tooltip_guardstationed          *X 名驻守中
interfacetopbar_tooltip_guardpatrolling         *X 名巡逻中
interfacetopbar_tooltip_guardavailable          *X 名待命中
interfacetopbar_tooltip_guardresting            *X 名休息中
interfacetopbar_tooltip_guardonbreak            *X 名正在休息
interfacetopbar_tooltip_guardwantsabreak        (*X 名需要休息)
interfacetopbar_tooltip_guardactive             （*X 名正在处置事件）
interfacetopbar_tooltip_guarddoingjob           *X 名正在执行任务
interfacetopbar_tooltip_idle                    （*X 空闲）
interfacetopbar_tooltip_guardsstriking          *X 名正在罢工

interfacetopbar_tooltip_regularguards			有 *X 名常规警卫
interfacetopbar_tooltip_armedguards              有 *X 名武装警卫
interfacetopbar_tooltip_dogs                     有 *X 名警犬员
interfacetopbar_tooltip_snipers					有 *X 名狙击手

interfacetopbar_unlimitedfunds                  无限资金
interfacetopbar_cheatsenabled					作弊模式已启用

interfacetopbar_budget_moneyin					收入：百万美元 /天
interfacetopbar_budget_moneyout					支出：百万美元 /天
interfacetopbar_budget_cantgonegative           在聘用会计师管理监狱财务之前，现金流不可为负（即支出大于收入）。

interfacetopbar_prisoners_types					目前容纳 *X 名囚犯：
interfacetopbar_prisoners_capacity              最大安全容纳囚犯数：*X
interfacetopbar_prisonercells_shared            多人牢房容量：*X
interfacetopbar_prisonercells_unlocked          未上锁牢房容量：*X
interfacetopbar_prisonercells_minseconly        最低设防区容量：*X
interfacetopbar_prisonercells_medseconly        普通设防区容量：*X
interfacetopbar_prisonercells_maxseconly        最高设防区容量：*X
interfacetopbar_prisonercells_protectedonly     重点保护区容量：*X
interfacetopbar_prisonercells_supermaxonly      超高设防区容量：*X
interfacetopbar_prisonercells_deathrowonly      死刑犯专区容量：*X
interfacetopbar_prisonercells_staffonly         无法使用的牢房数量：*X
interfacetopbar_prisoners_nocells               无法给 *X 名囚犯分配牢房
interfacetopbar_prisonercells_parents           亲人数量: *X

interfacetopbar_cctv_current					目前启用了 *C 个摄像头
interfacetopbar_cctv_cap						还可安装 *C 个摄像头

interfacetopbar_tension_currentlevel            危险等级为 *X
interfacetopbar_tension_currentlevellow         低
interfacetopbar_tension_currentlevelmedium      中
interfacetopbar_tension_currentlevelhigh        高
interfacetopbar_tension_increasing              且正在上升
interfacetopbar_tension_decreasing              且正在降低
interfacetopbar_tension_description             因素：
interfacetopbar_tension_happyprisoners           - *X 名囚犯表示受到了良好对待
interfacetopbar_tension_unhappyprisoners         + *X 名囚犯大发牢骚
interfacetopbar_tension_lockedupprisoners        + *X 名囚犯被关在自己的牢房或禁闭室中禁足
interfacetopbar_tension_riotingprisoners        + *X 名囚犯正在暴动
interfacetopbar_tension_wellfedprisoners         - *X 名囚犯饮食充足
interfacetopbar_tension_suppressedprisoners      = *X 囚犯遭到镇压（抱怨）
interfacetopbar_tension_activeriotguards        + *X 名防暴警察就位
interfacetopbar_tension_activearmedguards        + *X 名武装警卫执勤中
interfacetopbar_tension_recentdeaths             + *X 个人最近被杀
interfacetopbar_tension_recentsearches           + *X 名囚犯最近遭到无故搜身
interfacetopbar_tension_angrygangmembers         + *X 名帮派成员非常愤怒（头目被惩罚）
interfacetopbar_tension_recentpunishments        = （威慑）最近宣布了 *X 项惩罚
interfacetopbar_tension_recentcalmed             - *X 名囚犯最近很平静
interfacetopbar_tension_staffmorale_low			+ 员工士气低落
interfacetopbar_tension_staffmorale_high		- 员工士气高涨
interfacetopbar_tension_staffonstrike           + 员工正在罢工
interfacetopbar_tension_dangerzone				+ 危险区域！
interfacetopbar_tension_hoursonrollcall         + 囚犯对点名表示愤怒

interfacetopbar_staffmorale_title				员工士气
interfacetopbar_staffmorale_happystaff			+ *X 名员工在工作中感到快乐
interfacetopbar_staffmorale_unhappystaff		- *X 名员工大发牢骚
interfacetopbar_staffmorale_injuredstaff		- *X 名员工受伤了
interfacetopbar_staffmorale_staffdeaths			- *X 名员工殉职
interfacetopbar_staffmorale_staffpayverygood	+ 薪水高到做梦都笑醒
interfacetopbar_staffmorale_staffpaygood		+ 薪水令人满意
interfacetopbar_staffmorale_staffpaybad 		- 薪水难以糊口

interfacecontrol_mainmenu                       主菜单（Esc）
interfacecontrol_mainmenu_tooltip               开启主菜单（新建游戏/加载/存档/退出等）
interfacecontrol_todo                           待办事项清单
interfacecontrol_todo_tooltip                   切换显示待办事项清单
interfacecontrol_research                       行政
interfacecontrol_research_tooltip               打开行政系统窗口，你可以在其中指派管理层以解锁新的物品、员工类型和设施。
interfacecontrol_grading                        监狱评级
interfacecontrol_grading_tooltip                打开监狱评级窗口，你可以在这里看到监狱运营情况的总体评级。
interfacecontrol_graphs                         图表
interfacecontrol_graphs_tooltip                 打开图表，你可以比较监狱的方方面面。

interface_confirmlandbuy                        你确定要花 *X 美元购买这个地块吗？
interface_loadconfirm                           你确定要加载这张地图？你将失去所有未保存的进度。
interface_saveconfirm                           你确定要用这个文件名保存吗？已有数据将被覆盖。

interface_landbuylabel                          *X米 x *Y米。总面积 *A 平方米。 *C

interface_action_dismantle                      拆除
interface_action_dump                           丢弃
interface_action_repair                         修理
interface_action_medicalbay                     医务室
interface_action_search                         搜查
interface_action_searchcell                     搜查牢房
interface_action_searchcellblock                搜查牢房区块
interface_action_searchtoilets                  搜查厕所
interface_action_sack                           解雇
interface_action_dooropen                       开门
interface_action_doormodenormal                 门禁模式：普通
interface_action_doormodelockedshut             门禁模式：常闭
interface_action_doormodelockedopen             门禁模式：常开
interface_action_switchon                       开启
interface_action_switchoff                      关闭
interface_action_sellobject                     售卖物品
interface_action_dismiss                        解雇
interface_action_connect                        连接
interface_action_clearconnections               清除连接
interface_action_servoopen                      触发时开启
interface_action_servoclose                     触发时关闭
interface_action_follow                         跟随
interface_action_rapsheet                       显示囚犯档案

interface_contents_container                    内容：*X
interface_contents_stack                        内容：*X x *Y

interface_skip                                  跳过

interface_error_riotmove                        

interface_foundationsinprogress                 地基建造中
riot_underway                                   发生暴动
riot_status_prisoners                           *X 名囚犯正在暴动
shakedown_underway                              彻底搜查执行中
shakedown_found                                 查获：

gameover_caption                                按 ESC 键继续

sector_jobs_max                                 工作名额上限 *X
sector_jobs_qualified                           合格囚犯： *X
sector_jobs_required                            （需要: *X）
sector_noaccess                                 无法进入
sector_insecure                                 不安全



# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					硬件兼容性测试
hardware_compat_message					在你的许可下，我们将从你的计算机收集下列硬件数据。\n\n这些信息完全匿名并将帮助我们确保 Prison Architect 在尽可能多的电脑硬件上运行。\n\n非常感谢！
hardware_compat_accept					接受
hardware_compat_decline					拒绝

connectionmenu_connect                  连接
connectionmenu_disconnect               断开连接
connectionmenu_clear                    清空
connectionmenu_done                     完成


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      建造
buildtoolbar_reports                    报告
buildtoolbar_bangup                     上锁囚禁
buildtoolbar_lockdown                   防范禁闭
buildtoolbar_shakedown                  彻底搜查
buildtoolbar_weaponsfree                自由开火
buildtoolbar_rollcall                   点名

buildtoolbar_tooltip_reports			打开报告窗口，查看与囚犯、员工、收入、政府补助等相关的信息
buildtoolbar_tooltip_bangup				将所有（愿意回牢房的）囚犯送回牢房，如果关押太长时间会引起不满
buildtoolbar_tooltip_lockdown			立刻锁闭监狱里所有的门
buildtoolbar_tooltip_shakedown          下令立即搜查所有牢房，搜查将会耗费一些时间，同时也会惹怒囚犯们。
buildtoolbar_tooltip_weaponsfree        授权武装警卫使用致命武器。
buildtoolbar_tooltip_nostrike           员工罢工期间不可用
buildtoolbar_tooltip_rollcall           让囚犯全部站在其囚房外，仅在睡眠作息期和夜间可用。

buildtoolbar_cost						费用：*C 美元
buildtoolbar_cost_sqrft					费用：*C 美元/平方米
buildtoolbar_wages						工资：每天 *W 美元
buildtoolbar_upkeep						维护：每天 $*W 美元
buildtoolbar_outdoor					仅限室外
buildtoolbar_indoor						仅限室内
buildtoolbar_walk_speed					行走速度：*S
buildtoolbar_walk_speed_slow			慢
buildtoolbar_walk_speed_norm			一般
buildtoolbar_walk_speed_fast			快
buildtoolbar_locked                     锁定
buildtoolbar_locked_research			锁定（需要 *B ）
buildtoolbar_locked_administrator		锁定（需要 *B）
buildtoolbar_room						房间

buildtoolbar_electrical                  - 电气
buildtoolbar_highpower                   - 高功率
buildtoolbar_water                       - 需要水管接头
buildtoolbar_wired                       - 联网（与其他联网装置相连）
buildtoolbar_modcontent                  - 模组内容

buildtoolbar_popup_foundations			建造/拆除建筑以打造你的监狱
buildtoolbar_popup_construction			不同类型的地面与墙壁。
buildtoolbar_popup_planning				对监狱进行规划而不建造。
buildtoolbar_popup_designation			在监狱里标出特定功能的区域。
buildtoolbar_popup_objects				为监狱配备各种实用设施。
buildtoolbar_popup_overlays				目测监狱布局上的安全弱点。
buildtoolbar_popup_utilities			管道与电气系统。
buildtoolbar_popup_staff				聘请必要的人员经营你的监狱。
buildtoolbar_popup_deployment			分配员工到监狱特定区域。
buildtoolbar_popup_logistics            分配囚犯在监狱内劳动，并可手动分派餐厅和衣物清洗工作。
buildtoolbar_popup_research				为监狱解锁新功能。
buildtoolbar_popup_emergencies			如果事态恶化，呼叫应急服务。
buildtoolbar_popup_spawn				再生？这是干嘛用的？
buildtoolbar_popup_clone				你可以复制并粘贴现有建筑结构。
buildtoolbar_popup_properties			查清那该死的东西。
buildtoolbar_popup_contraband           显示违禁品来源，以及所有最近在监狱发现的违禁品。同时显示你的秘密线人及其情报。
buildtoolbar_popup_grading              查看你的监狱整体等级基于四个关键指标——惩罚，教化，安全，医疗，同时显示囚犯出狱后的再犯率。
buildtoolbar_popup_prefabs              复制并粘贴你的监狱的一部分，或者放置预先定义好的房间。
buildtoolbar_popup_room_cell			囚犯生活场所。
buildtoolbar_popup_room_holdingcell		用于暂时收容未获得个人牢房的新进囚犯的房间。
buildtoolbar_popup_room_solitary		专门针对恶中之恶的隔离惩戒牢房。
buildtoolbar_popup_room_dormitory       一个可容纳多个囚犯的房间。房间越大，它就越能容纳更多的犯人。
buildtoolbar_popup_room_familycell      给有孩子的囚犯住的房间。
buildtoolbar_popup_room_sharedcell      一个多人牢房，可以容纳至多8名囚犯。
buildtoolbar_popup_room_canteen			囚犯的下午茶场所。
buildtoolbar_popup_room_kitchen			厨师为囚犯烹制食物的区域。
buildtoolbar_popup_room_shower			用于让囚犯保持整洁，杜绝虱子。
buildtoolbar_popup_room_yard			在狙击塔的严密监视下，让囚犯们每天晒几小时的太阳。
buildtoolbar_popup_room_storage			放置监狱员工所需全部材料的区域。
buildtoolbar_popup_room_deliveries		卸下货物、材料以及囚犯的位置。
buildtoolbar_popup_room_garbage			废物收集处。
buildtoolbar_popup_room_execution		囚犯处决处。
buildtoolbar_popup_room_workshop		派囚犯们制作汽车牌照的地方，无聊至极。
buildtoolbar_popup_room_security		警官办公室。
buildtoolbar_popup_room_office			行政人员工作区。
buildtoolbar_popup_room_medicalward		医护人员工作区。
buildtoolbar_popup_room_morgue			安放死亡囚犯和员工的地点。
buildtoolbar_popup_room_commonroom		给囚犯一些自由时间让其放松。
buildtoolbar_popup_room_kennel          警犬驯育处。
buildtoolbar_popup_room_chapel          当行政管理层聚在一起讨论如何应对囚犯们的宗教需求时会有什么结果？不如建一个“多信仰祷告室”。我们管它叫小礼拜堂。
buildtoolbar_popup_room_paroleroom      当囚犯服刑期达到总刑期的 50% 和 75% 时，就有资格申请假释，他们的命运将由典狱长和警长在这间房间内决定。\n\n建议安排额外的安保人员戒备。囚犯得知其假释被驳回时通常会极其失望。
buildtoolbar_popup_room_library         全国各地会给你的监狱送来成箱的废书或旧书，囚犯们要将书本分类并上架。
buildtoolbar_popup_room_intake          囚犯刚抵达时会先被带到这里。
buildtoolbar_popup_room_nursery         带婴儿的囚犯的活动室。
buildtoolbar_popup_room_shop            囚犯可在商店中使用他们挣得的辛苦钱来购买奢侈品。可以满足卫生、食物、娱乐需求。你可以从每笔交易和每天的佣金中获取收入。


buildtoolbar_popup_obj_bed				不太软、也不太硬，刚刚好。嗯，事实上，真的很硬又很小。
buildtoolbar_popup_obj_toilet			一项基本人权，如果你相信那些狂想家
buildtoolbar_popup_obj_table			跟椅子挺搭配。
buildtoolbar_popup_obj_chair			跟桌子是绝配。
buildtoolbar_popup_obj_bench			可以坐在上面。
buildtoolbar_popup_obj_electricchair	实施两千伏特的正义。
buildtoolbar_popup_obj_jaildoor			把囚犯关在他们应该待的地方。
buildtoolbar_popup_obj_jaildoorlarge	把很多囚犯关在他们应该待的地方。
buildtoolbar_popup_obj_door				一扇道简单的门。
buildtoolbar_popup_obj_solitarydoor		极其牢固的门，能够阻挡最强壮的犯人越狱。
buildtoolbar_popup_obj_staffdoor		一扇上锁的门，不只能被警卫打开，所有员工都能打开。
buildtoolbar_popup_obj_window			可以见到一缕阳光。
buildtoolbar_popup_obj_windowlarge		可以见到充沛的阳光。
buildtoolbar_popup_obj_tree				采取措施应对全球变暖是我们所有人的责任。
buildtoolbar_popup_obj_light			确保随时都能看见囚犯们的一举一动。
buildtoolbar_popup_obj_cooker			提供热腾腾的饭菜让囚犯们享受一下。
buildtoolbar_popup_obj_fridge			避免食材腐坏。
buildtoolbar_popup_obj_bin				一定要把违禁品搜剿干净。
buildtoolbar_popup_obj_sink				所有员工都需要洗手。如果有热水供应，速度会更快。
buildtoolbar_popup_obj_servingtable		把食物分配给囚犯们。
buildtoolbar_popup_obj_showerhead		花洒喷头，供淋浴用。热水淋浴会让囚犯更快乐。
buildtoolbar_popup_obj_bookshelf		放书的架子。
buildtoolbar_popup_obj_officedesk		你的员工需要记录很多信息，给他们提供一个漂亮的办公桌吧。
buildtoolbar_popup_obj_filingcabinet	你的员工需要把他们写的东西细心整理好。
buildtoolbar_popup_obj_medicalbed		在被囚犯偷走之前，毒品都保存在这里。
buildtoolbar_popup_obj_morgueslab		在转运遗体前确保死者有地方安息。
buildtoolbar_popup_obj_drain			清除地板上的积水。
buildtoolbar_popup_obj_sprinkler		发生火灾时自动向此区域喷水。
buildtoolbar_popup_obj_metaldetector	藏有违禁品的囚犯经过时会被检测出来，但需要在附近安排警卫才能收缴违禁品。
buildtoolbar_popup_obj_weightsbench		允许囚犯们锻炼，令他们保持愉悦心情。
buildtoolbar_popup_obj_phonebooth		这些方便的电话亭可以让犯人与其家属通话。
buildtoolbar_popup_obj_tv				用肥皂剧安抚囚犯。需有一個空間讓囚犯看電視。
buildtoolbar_popup_obj_largetv			让众多囚犯们共享一段脑残体验。需有一個空間讓囚犯看電視。
buildtoolbar_popup_obj_radio            让囚犯们收听最爱的男团音乐以消磨无聊时光，整个囚房中的囚房略微快乐。 
buildtoolbar_popup_obj_pooltable		玩局台球来打发千篇一律的监狱生活。
buildtoolbar_popup_obj_dismantleobject	拆除一件物品。
buildtoolbar_popup_obj_altar            天主与祷告者相遇之地
buildtoolbar_popup_obj_pews             信徒的座位。用最坚硬、最致密的木头制成。
buildtoolbar_popup_obj_prayermat        使囚犯们在祈祷时不必跪在肮脏的地板上。
buildtoolbar_popup_obj_guardtower       供狙击手观察你的监狱的哨站（需要聘用狙击手才能使用）。
buildtoolbar_popup_obj_roadbarrier      一个坚固的路障，甚至能阻止飞驰的卡车，只在防范禁闭期间关闭。

buildtoolbar_popup_staff_workman		根据你所提供的规划为你建造监狱。
buildtoolbar_popup_staff_guard			用于看管囚犯以防其滋事。
buildtoolbar_popup_staff_armedguard     给警卫装备霰弹枪，囚犯在攻击他之前就会三思。\n\n注意：每个配备枪械的警卫都需要在军械库拥有自己的储物柜。
buildtoolbar_popup_staff_doctor			自动治疗附近所有受伤的人，无论是警卫还是囚犯
buildtoolbar_popup_staff_cook			把他们烹制的餐食提供给囚犯们。
buildtoolbar_popup_staff_gardener		保持监狱地面干净整洁。
buildtoolbar_popup_staff_janitor		保持监狱内部干净整洁，也可协助监狱洗衣工作。
buildtoolbar_popup_staff_warden			监狱大总管，在你寻找并聘用高级员工之前必须拥有此职位。
buildtoolbar_popup_staff_chief			这名高级员工使你可以使用部署、闭路电视监控系统和防暴警卫调查项目。
buildtoolbar_popup_staff_foreman		这名高级员工使你可以雇佣清洁工和园丁。
buildtoolbar_popup_staff_psychologist	这名高级员工使你可以洞察囚犯们的心理活动。
buildtoolbar_popup_staff_accountant		这名高级员工使你可以查看财务报告。
buildtoolbar_popup_staff_lawyer			这名高级员工可帮助你打破规则，获得监狱的更大控制权。
buildtoolbar_popup_staff_sniper     一个受过严格培训的狙击手，他们会自动占据一个守卫塔（如果有的话）。\n对在监狱里捣乱的囚犯他会在射击之前先鸣枪警告，对于试图越狱的囚犯则没有这种警告。

buildtoolbar_popup_uts_powerstation		产生监狱所需的电力。
buildtoolbar_popup_uts_capacitor		放置在发电站旁可以提高发电量。
buildtoolbar_popup_uts_electricalcable	为监狱分配电力。
buildtoolbar_popup_uts_powerswitch		切换所有与其相连的电线的通电情况。\n\n右键点击开启/关闭通电状态。
buildtoolbar_popup_uts_waterpumpstation	为监狱提供水源。
buildtoolbar_popup_uts_pipevalve		切换所有相连水管的供水情况。
buildtoolbar_popup_uts_pipelarge		为你的监狱配送大量的高压水，或许足够让某些人在充满臭味的污物中爬行 500 码获取自由。\n\n注意，一般不连接水槽或淋浴花洒等等——因为压力太高。
buildtoolbar_popup_uts_pipesmall		用来将马桶、淋浴花洒、水槽等连接到你的大型管网。压力要低很多，因此小管道的长度受限，以防压力过低。
buildtoolbar_popup_uts_cctv				不用到处安排警卫也可以监视囚犯。\n\n你必须把闭路电视监视器与摄像头相连才能让它正常工作。
buildtoolbar_popup_uts_cctvmonitor		需要安装在警卫室并由一名警卫操作。你可远程操控监狱各处的闭路电视监控摄像头。\n\n使用连接工具将监视器与闭路电视监控摄像头相连。\n\n注意：最多可以同时监视8个摄像头。如果连接了8个以上的摄像头，摄像头的画面会逐步切换显示，只能提供不完整的监控。
buildtoolbar_popup_uts_DoorControlSystem  需要安装在警卫室并由一名警卫操作。你可远程打开监狱各处的门。\n\n使用连接工具将此系统与门禁伺服系统相连。门禁伺服器应安装在你希望远程操控的门上\n\n注意：你可向此系统连接无限多的伺服系统，但操作此系统的警卫每秒最多只能打开两扇门。
buildtoolbar_popup_uts_phonemonitor     需要安装在警卫室并由一名警卫操作。你可以监听囚犯们打出的所有电话，让你可以提前洞察有组织的违法活动。\n\n使用连接工具将此系统与电话亭相连。
buildtoolbar_popup_uts_Servo            将门禁伺服器安装在你想要远程操控的门上，确保马达齿轮在门的正上方。\n\n安装完毕后，门禁伺服器被触发就会自动开门—— 一般由门禁控制系统或门禁定时器触发。\n\n门禁伺服器可以串连，当第一个伺服器被触发时就会同时触发后面的伺服器。
buildtoolbar_popup_uts_LogicCircuit     仅限高级建筑师使用。\n\n一个可以根据输入数据进行逻辑运算后输出相应结果的简单电路盒。\n\n可用运算：And / Or / Not / Nand / Nor / Xor\n\n点击右键循环切换逻辑运算。
buildtoolbar_popup_uts_LogicBridge      仅限高级建筑师使用。\n\n接收其输入讯号，并将其桥接至同一格的电力线路上，电力线路再将信号传递到同一线路上的另一个逻辑电路。\n\n可以用来对整个监狱“广播”公共讯号，例如在广播时钟讯号时很有用。
buildtoolbar_popup_uts_DoorTimer        可用于在每天固定的时段自动开门。\n\n使用连接工具将定时器连接到门禁伺服器上。
buildtoolbar_popup_uts_Wire             连接你的远程操控系统。
buildtoolbar_popup_uts_showallwires		显示监狱中所有已连接的电线。
buildtoolbar_popup_uts_remotedoor       不能用钥匙打开的坚固金属门（只能远程开启）。用这种门可以有效防止囚犯窃取钥匙大规模越狱。
buildtoolbar_popup_uts_dismantleutility	
buildtoolbar_popup_uts_pressurepad      当有物体压在其上时会向连接的设备发出讯号。
buildtoolbar_popup_uts_statuslight      根据接收到的讯号亮红或绿灯。

buildtoolbar_popup_autolights_name      自动灯具
buildtoolbar_popup_autolights           自动布置灯具
